rdf_type,replacing_term,replacing_term_localName,replacing_term_namespace,replaced_term,replaced_term_namespace,replaced_term_localName
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://digir.net/schema/conceptual/darwin/2003/1.0/TimeCollected,TimeCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,http://digir.net/schema/conceptual/darwin/2003/1.0/TimeOfDay,http://digir.net/schema/conceptual/darwin/2003/1.0/,TimeOfDay
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/TypeStatus,TypeStatus,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/TypeStatus,http://digir.net/schema/conceptual/darwin/2003/1.0/,TypeStatus
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/VerbatimCollectingDate,VerbatimCollectingDate,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimCollectingDate,http://digir.net/schema/conceptual/darwin/2003/1.0/,VerbatimCollectingDate
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/VerbatimDepth,VerbatimDepth,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimDepth,http://digir.net/schema/conceptual/darwin/2003/1.0/,VerbatimDepth
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/curatorial/VerbatimElevation,VerbatimElevation,http://rs.tdwg.org/dwc/curatorial/,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimElevation,http://digir.net/schema/conceptual/darwin/2003/1.0/,VerbatimElevation
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/VerbatimLatitude,VerbatimLatitude,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimLatitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,VerbatimLatitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/geospatial/VerbatimLongitude,VerbatimLongitude,http://rs.tdwg.org/dwc/geospatial/,http://digir.net/schema/conceptual/darwin/2003/1.0/VerbatimLongitude,http://digir.net/schema/conceptual/darwin/2003/1.0/,VerbatimLongitude
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/terms/year,year,http://rs.tdwg.org/dwc/terms/,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,YearCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/EarliestDateCollected,EarliestDateCollected,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,YearCollected
http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,http://rs.tdwg.org/dwc/dwcore/LatestDateCollected,LatestDateCollected,http://rs.tdwg.org/dwc/dwcore/,http://digir.net/schema/conceptual/darwin/2003/1.0/YearCollected,http://digir.net/schema/conceptual/darwin/2003/1.0/,YearCollected
